Driver ID,2024-09-11T13:00:00+02:00,2024-09-11T13:30:00+02:00,2024-09-11T14:00:00+02:00,2024-09-11T14:30:00+02:00,2024-09-11T15:00:00+02:00,2024-09-11T15:30:00+02:00,2024-09-11T16:00:00+02:00,2024-09-11T16:30:00+02:00,2024-09-11T17:00:00+02:00,2024-09-11T17:30:00+02:00,2024-09-11T18:00:00+02:00,2024-09-11T18:30:00+02:00,2024-09-11T19:00:00+02:00,2024-09-11T19:30:00+02:00,2024-09-11T20:00:00+02:00,2024-09-11T20:30:00+02:00,2024-09-11T21:00:00+02:00,2024-09-11T21:30:00+02:00,2024-09-11T22:00:00+02:00,2024-09-11T22:30:00+02:00,2024-09-11T23:00:00+02:00,2024-09-11T23:30:00+02:00,2024-09-12T00:00:00+02:00,2024-09-12T13:00:00+02:00,2024-09-12T13:30:00+02:00,2024-09-12T14:00:00+02:00,2024-09-12T14:30:00+02:00,2024-09-12T15:00:00+02:00,2024-09-12T15:30:00+02:00,2024-09-12T16:00:00+02:00,2024-09-12T16:30:00+02:00,2024-09-12T17:00:00+02:00,2024-09-12T17:30:00+02:00,2024-09-12T18:00:00+02:00,2024-09-12T18:30:00+02:00,2024-09-12T19:00:00+02:00,2024-09-12T19:30:00+02:00,2024-09-12T20:00:00+02:00,2024-09-12T20:30:00+02:00,2024-09-12T21:00:00+02:00,2024-09-12T21:30:00+02:00,2024-09-12T22:00:00+02:00,2024-09-12T22:30:00+02:00,2024-09-12T23:00:00+02:00,2024-09-12T23:30:00+02:00,2024-09-13T00:00:00+02:00,2024-09-14T13:00:00+02:00,2024-09-14T13:30:00+02:00,2024-09-14T14:00:00+02:00,2024-09-14T14:30:00+02:00,2024-09-14T15:00:00+02:00,2024-09-14T15:30:00+02:00,2024-09-14T16:00:00+02:00,2024-09-14T16:30:00+02:00,2024-09-14T17:00:00+02:00,2024-09-14T17:30:00+02:00,2024-09-14T18:00:00+02:00,2024-09-14T18:30:00+02:00,2024-09-14T19:00:00+02:00,2024-09-14T19:30:00+02:00,2024-09-14T20:00:00+02:00,2024-09-14T20:30:00+02:00,2024-09-14T21:00:00+02:00,2024-09-14T21:30:00+02:00,2024-09-14T22:00:00+02:00,2024-09-14T22:30:00+02:00,2024-09-14T23:00:00+02:00,2024-09-14T23:30:00+02:00,2024-09-15T00:00:00+02:00,2024-09-15T13:00:00+02:00,2024-09-15T13:30:00+02:00,2024-09-15T14:00:00+02:00,2024-09-15T14:30:00+02:00,2024-09-15T15:00:00+02:00,2024-09-15T15:30:00+02:00,2024-09-15T16:00:00+02:00,2024-09-15T16:30:00+02:00,2024-09-15T17:00:00+02:00,2024-09-15T17:30:00+02:00,2024-09-15T18:00:00+02:00,2024-09-15T18:30:00+02:00,2024-09-15T19:00:00+02:00,2024-09-15T19:30:00+02:00,2024-09-15T20:00:00+02:00,2024-09-15T20:30:00+02:00,2024-09-15T21:00:00+02:00,2024-09-15T21:30:00+02:00,2024-09-15T22:00:00+02:00,2024-09-15T22:30:00+02:00,2024-09-15T23:00:00+02:00,2024-09-15T23:30:00+02:00,2024-09-16T00:00:00+02:00,
442371,,,,,,,,,,,,,,0:00.000,0:00.000,0:00.000,1:52.165,,,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,0:00.000,0:00.000,0:00.000,1:57.678,,,,,,,,,,,,,,,0:00.000,,0:00.000,0:00.000,1:51.993,1:51.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957232,1:50.166,0:00.000,0:00.000,,,,,,,,,1:50.008,1:49.901,0:00.000,1:49.947,0:00.000,0:00.000,,,,,,,,0:00.000,1:56.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571637,,,,,0:00.000,1:51.273,0:00.000,0:00.000,1:51.444,,,,,,,,,,,,0:00.000,1:51.063,0:00.000,,,,,,,,,,,,,,,,0:00.000,,,1:57.261,0:00.000,1:57.120,0:00.000,0:00.000,,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,1:50.899,0:00.000,0:00.000,,,,,,,,,,,,,,,,,,,,,,,,
897716,,1:50.264,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00.000,1:56.392,0:00.000,1:56.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430535,,,,,,,,,1:50.452,1:50.126,1:50.082,1:50.021,,,,,,,,,,,,,,,,,,,,1:56.305,1:56.113,1:56.060,1:56.038,,,,,1:56.015,0:00.000,1:55.959,1:55.990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577411,,,,,,,,,0:00.000,0:00.000,0:00.000,1:50.070,1:49.867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:56.515,,,,,,,,,,,,,,,,,,,,,,
443494,,,,,,,,,,0:00.000,1:50.531,0:00.000,0:00.000,0:00.000,0:00.000,0:00.000,1:50.232,0:00.000,1:50.146,1:49.985,0:00.000,,1:50.014,,,,,0:00.000,1:56.931,0:00.000,0:00.000,0:00.000,0:00.000,,,,,,,,,,0:00.000,1:56.756,0:00.000,0:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,1:56.642,,,,0:00.000,1:56.464,0:00.000,0:00.000,1:56.339,,,,,,,,,,,,,,,,,,,1:50.593,1:50.406,1:50.187,,,,,,,1:56.333,1:56.334,0:00.000,,,,,,,,,,,,,,,,,,,
1059262,,,,,,1:52.678,,0:00.000,,0:00.000,0:00.000,0:00.000,,,,,,,0:00.000,0:00.000,0:00.000,0:00.000,0:00.000,,0:00.000,0:00.000,,,,0:00.000,0:00.000,0:00.000,0:00.000,0:00.000,0:00.000,0:00.000,0:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,0:00.000,0:00.000,0:00.000,,,,,,
472952,,,,,,,,,1:50.016,1:49.994,1:49.960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:56.479,1:56.430,0:00.000,,,,,,,,,,,,,,,,,,,,,
460152,,,,,,,,,,0:00.000,0:00.000,,0:00.000,,0:00.000,0:00.000,0:00.000,1:52.563,0:00.000,1:52.218,,,,,,,,,,,,,,,,,,1:58.474,1:58.523,,,,,,,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,0:00.000,0:00.000,1:51.685,,,,,,,,,,,,,0:00.000,0:00.000,,,,,0:00.000,0:00.000,1:57.674,1:57.504,,,,
582318,,,,,,,,,,,,,1:50.180,1:50.146,0:00.000,1:49.968,1:50.020,0:00.000,0:00.000,1:49.959,0:00.000,0:00.000,1:49.958,,,,,,,,,,,,,,,1:56.632,1:56.396,1:56.341,1:56.394,1:56.325,0:00.000,1:56.317,1:56.282,1:56.229,,,,,,,,,,1:50.025,0:00.000,1:49.873,1:49.949,,,,,,,,,,,,,,,,0:00.000,0:00.000,0:00.000,0:00.000,,,,,,,,,,0:00.000,0:00.000,0:00.000,0:00.000,0:00.000,
544713,,,,,,,,,,,,,,,,,,,,0:00.000,1:50.984,1:50.777,1:50.814,,0:00.000,1:57.248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:57.029,,,,,,,
582285,,,,,,,,,,,,,,,,,,,,1:51.958,,0:00.000,,,,,,,,,,,,,1:57.665,0:00.000,,,,,,,,0:00.000,,,,,,,1:52.016,1:51.918,0:00.000,1:51.364,,,,,,,,,,,,,,,,,,,,,0:00.000,,,,,1:57.903,0:00.000,0:00.000,,,,,,,,,,0:00.000,
146747,,0:00.000,1:50.048,,,,,,,,,,,,,,,,,,,,,,,,0:00.000,1:56.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425464,,,,,,,,,,0:00.000,0:00.000,1:49.898,1:49.887,,,,,0:00.000,1:49.739,,,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,0:00.000,0:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1:56.060,,,,,,,,,,,,
805495,,,,,,,,,,,,,0:00.000,,,,,,,,,,,,,0:00.000,,,,,,,,,,,,,,,,,,,,,1:50.959,,,,0:00.000,0:00.000,,,,,,,,,,,,,,,,,,,,,0:00.000,1:57.379,0:00.000,0:00.000,1:57.197,,,,,,,,,,,,,,,,
553231,,,,,,,,,,,,,,,,,1:51.773,1:51.507,0:00.000,0:00.000,,,,,,,,,,,,,,,,,,,,0:00.000,1:57.985,0:00.000,,0:00.000,1:57.640,,,,,,0:00.000,1:51.370,0:00.000,0:00.000,1:51.178,0:00.000,,,,,,,,,,,,,,,,,,1:57.239,0:00.000,0:00.000,1:57.160,0:00.000,,,,,,,,,,,,,,,
599970,,,,,,,,,,,,,,,,,,,,,,,,,1:57.927,1:57.557,,,,,,,,,,,,,,,,,,,,,1:51.048,0:00.000,1:50.835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,,,,,,,
688189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2:00.000,0:00.000,0:00.000,1:59.185,1:58.803,0:00.000,1:58.620,0:00.000,0:00.000,,1:59.113,0:00.000,,,,,,,,,,,,,,,,,0:00.000,0:00.000,1:53.612,1:53.876,1:53.977,1:53.998,0:00.000,,,,,,,,,,,,,,,0:00.000,0:00.000,,,,,,,,,
729437,,,,,1:50.688,,,,,,,,,,,,,1:50.347,0:00.000,0:00.000,0:00.000,0:00.000,,,,,,,,,1:56.790,,0:00.000,0:00.000,,,,,0:00.000,0:00.000,0:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789224,,,,,,,,,,,1:51.277,,,,,,,,,,,,,,,,,,,,,,1:57.420,0:00.000,1:57.413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842193,,,,,,,,,,,,,,,,,,1:52.067,0:00.000,0:00.000,1:51.178,0:00.000,1:51.249,,,,,,,,,,,,,,,,,,1:58.200,1:58.343,0:00.000,1:57.561,1:57.552,1:57.379,,,,,,,,,,0:00.000,0:00.000,0:00.000,1:51.382,,,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,1:57.615,0:00.000,,,,,1:58.148,0:00.000,1:57.558,0:00.000,1:58.340,1:57.973,
582186,,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,0:00.000,0:00.000,0:00.000,,,,,,,,,,,,,,,,,,,1:59.177,0:00.000,1:58.391,1:57.813,1:57.478,,,,,,,,,,,,,,,,,,,0:00.000,1:51.439,1:51.110,1:51.293,0:00.000,,,,,,,0:00.000,0:00.000,0:00.000,1:57.482,,,,,,,,,0:00.000,1:57.656,0:00.000,0:00.000,1:57.215,
588884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00.000,1:50.579,,,,,,,,,,0:00.000,1:56.947,,,,,,,,,,,,,0:00.000,0:00.000,1:56.723,1:56.664,,
1104727,,,,,,,,,,,,,,,,1:50.732,0:00.000,,,,,,,,,,,,,,,,,,,,,,,1:57.104,,,,,,,,,,,0:00.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632290,,,,,,,,,,,,,,,,,,,,0:00.000,,0:00.000,1:51.226,,,,,,,,,,,,,,,,,1:58.258,1:58.163,0:00.000,1:57.812,1:57.479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0:00.000,0:00.000,0:00.000,1:58.011,1:57.311,,,,,1:57.310,1:57.732,1:57.391,
900692,,,,,,,,,,,,,,,,,,,,,,,,,,,1:57.330,,,,0:00.000,0:00.000,1:57.054,,,,,,,,,,,,,,,,,,0:00.000,1:50.520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
